repository_name,site,views,unique_visitors/cloners
embedded-banking,developer.payments.jpmorgan.com,5,3
embedded-banking,search.brave.com,1,1
embedded-banking,confluence.ngage.netapp.com,1,1
embedded-banking,jpmorganchase.github.io,3,1
embedded-banking,online-payments-dev.com,2,1
embedded-banking,bitbucketdc.jpmchase.net,1,1
embedded-banking,Google,2,2
embedded-banking,DuckDuckGo,1,1
embedded-banking,teams.microsoft.com,1,1
embedded-banking,eb-components-demo.apps.dev.na-1z.gap.jpmchase.net,12,2
embedded-banking,eb-component-showcase.apps.dev.na-9z.gap.jpmchase.net,2,1
embedded-banking,p97.sharepoint.com,7,1
embedded-banking,next.embedded-finance-dev.com,1,1
embedded-banking,confluence.prod.aws.jpmchase.net,1,1
embedded-banking,opensourceindex.io,1,1
embedded-banking,chatgpt.com,1,1
embedded-banking,pr-462.d2w20dj3tinzo9.amplifyapp.com,2,1
embedded-banking,sp004.jpmchase.net,1,1
embedded-banking,mail.google.com,1,1
embedded-banking,l.threads.com,15,1
embedded-banking,com.google.android.gm,3,1
embedded-banking,m.sogou.com,1,1
embedded-banking,embedded-finance-dev.com,5,3
embedded-banking,gitdiagram.com,1,1
embedded-banking,gemini.google.com,1,1
embedded-banking,claude.ai,1,1
embedded-banking,theforage.com,2,1
embedded-banking,payments-preview.prod.aws.jpmchase.net,9,1
embedded-banking,github.com,26,8
embedded-banking,confluence.walmart.com,8,1
embedded-banking,embedded-finance-showcase-next.apps.dev.na-4z.gap.jpmchase.net,3,1
embedded-banking,Bing,4,1
embedded-banking,t.co,1,1
embedded-banking,jiradc-cib-cluster02.prod.aws.jpmchase.net,1,1
embedded-banking,jira.vwfspay.eu,1,1
embedded-banking,bitbucketdc-cluster07.jpmchase.net,2,1
embedded-banking,payments-preview.uat.aws.jpmchase.net,2,2
embedded-banking,linkedin.com,8,1
embedded-banking,embedded-banking-showcase.apps.dev.na-1z.gap.jpmchase.net,4,1
embedded-banking,statics.teams.cdn.office.net,1,1
embedded-banking,embedded-banking-dev.com,13,1
